========================================================================
  pKa GPR Calibration Report
  DFT method: r2SCAN-3c / CPCM(Water) + GFN2-xTB RRHO
========================================================================

  Model: Gaussian Process Regression
  Feature mode:  full
  Features:      ['δpKa_calc', 'q_acid', 'ΔE_CPCM', 'ΔBO_XC', 'ΔBO_ring', 'q_CHELPG_site']

  Training points:  214 total
    Full descriptors: 214
    Partial only:     1

  Kernel amplitude:  2.8885 pKa
  Noise level:       0.5364 pKa
  Length scales:     ['0.997', '1.629', '0.557', '0.656', '0.968', '6.630']

  LOO RMSE:  1.3975 pKa units
  LOO MAE:   0.8766 pKa units

  Physical interpretation of descriptors:
    δpKa_calc     ls=0.997  ACTIVE                        DFT deprotonation energy (charge-state centred); primary driver
    q_acid        ls=1.629  ACTIVE                        Born solvation q² baseline; separates charge-state families
    ΔE_CPCM       ls=0.557  ACTIVE                        
    ΔBO_XC        ls=0.656  ACTIVE                        
    ΔBO_ring      ls=0.968  ACTIVE                        
    q_CHELPG_site  ls=6.630  ACTIVE                        

  Active features: 6/6 (length scale < 9.5; wall-bound features ls→10.0 are negligible)

────────────────────────────────────────────────────────────────────────
  Training data with predictions:

              Compound                  Step    q   pKa_calc   pKa_exp   pKa_pred      σ      err
              losartan    LosartanH→Losartan   +0     205.50     3.960      4.399  0.976   +0.439
                lysine  H2Lys2plus→HLys1plus   +2     199.61     2.200      2.248  1.063   +0.048
           maleic_acid    H2Maleic→HMaleate_   +0     199.32     1.830      1.778  1.017   -0.052
           maleic_acid  HMaleate_m→Maleate_d   -1     217.64     6.070      6.133  1.051   +0.063
            malic_acid       H2Malic→HMalate   +0     200.23     3.459      2.840  0.987   -0.619
            malic_acid      HMalate→Malate2m   -1     215.65     5.097      5.153  0.966   +0.056
          malonic_acid  MalonicAci→Malonate_   +0     202.04     2.830      2.608  0.993   -0.222
          malonic_acid  Malonate_m→Malonate_   -1     216.07     5.690      5.571  1.014   -0.119
             metformin  MetforminH→Metformin   +2     189.38     2.800      2.722  1.063   -0.078
             metformin  MetforminH→Metformin   +1     186.40    11.500     11.361  1.061   -0.139
    methanesulfonamide  MeSulfonam→MeSulfona   +0     216.22    10.100     10.198  1.034   +0.098
          methanethiol  Methanethi→Methaneth   +0     215.44    10.330     10.419  0.900   +0.089
          methotrexate   MTX_neutra→MTX_mono   +0     209.11     4.800      4.753  1.032   -0.047
          methotrexate       MTX_mono→MTX_di   -1     209.02     5.620      5.701  1.062   +0.081
    methoxyacetic_acid  Methoxyace→Methoxyac   +0     208.37     3.570      3.780  0.903   +0.210
           methylamine  Methylammo→Methylami   +1     271.96    10.660     10.890  1.064   +0.230
  methylphosphonic_acid  MePhosphon→MePhospho   +0     206.05     2.380      2.746  1.001   +0.366
  methylphosphonic_acid  MePhosphon→MePhospho   -1     221.96     7.740      7.488  1.022   -0.252
